ID,Discovered Item,Framework Theme,Reference,Grey lit,Topic: Site remediation,Topic: Water mgt,Topic: Waste / sanitation,Topic: Workplace,Topic: Emissions,Topic: Chem Alt,Topic: Pub Health,Topic: Emerg / Disaster,Topic: Unspecified,Dev org: Gov't,Dev org: NGO,Dev org: Industry,Dev org: Academic,Disagree,Difficult,Guidance1,Guidance2,Context,Judgement,Unique,No code,Problem,Desirable effects,Undesirable effects,Certainty of evidence,Values,Balance of effects,Resources required,Cost effectiveness,Equity,Acceptability,Feasibility
119,"Compose or update conceptual site model: Contaminants, receptors, current or potential pathways. Identify mitigating factors, physical barriers, and institutional controls. Identify critical features such as reliance on active controls","Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
120,Contaminant source: Hazard inventory and information on severity of hazards,"Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
121,"Contaminant source: Risky events, such as flammability, explosions, pyrophoric, radioactivity","Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
122,"Contaminant source: Location and form of contaminants, waste classifications, Current containment and condition (tanks, drums, trenches, others)","Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
123,Contaminant source: Interim stabilization or treatment required,"Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,Contaminant source: Potential movement of contaminants over short-term and long-term shown by models,"Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
125,"Current pathways before remediation: Exposure pathways to different types of human receptors (worker, public)","Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
126,Potential pathways during remediation: Identify remediation workers and tasks,"Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
127,Potential pathways during remediation: Identify and interdict potential pathways,"Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
128,"Initiating events: Types of events (e.g. floods, storms), Mitigation for high priority events","Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
129,Physical barriers to exposure: Types of blocks or barriers that prevent receptor exposure,"Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
130,Physical barriers to exposure: Sustainability of physical blocks,"Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
131,"Institutional controls to exposure: Types of institutional controls, evaluation scheme, reinforcement","Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,Institutional controls to exposure: Information on sustainability of physical and institutional controls,"Source term, pathways, and methods of exposure",Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,"Types of risks: Definition of types (e.g. physical accidents, chemical or radiological exposures)",Risks and receptors ,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
134,Types of risks: Distribution of types,Risks and receptors ,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
135,"Types of risks: Location of risks (soil, sediment, buildings)",Risks and receptors ,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136,Types of risks: Possible changes in risk over time,Risks and receptors ,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
137,"Types of exposure groups (receptors): Construction workers (remediation workers), other on-site workers, the public",Risks and receptors ,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
138,Types of exposure groups (receptors): Change in types of on-site workers,Risks and receptors ,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
139,Types of exposure groups (receptors): Chronic vs acute exposures,Risks and receptors ,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,Regulatory framework: Current laws and regulations applying to worker and public health and safety,External drivers,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
141,Regulatory framework: Memory of older workers and residents,External drivers,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
142,"Stakeholders: Types and distribution of types, Identification of new groups of stakeholders",External drivers,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
143,Congressional mandate: Are congressional views or mandates going to change?,External drivers,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
144,Economic and social context: The economic predictions for the region,External drivers,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,Climate change: Changing temperatures,External drivers,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,Climate change: Changing rainfall patterns,External drivers,Burger 2020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,Human Health: Risk management performance of the project (long term) in terms of delivery of mitigation of unacceptable human health risks,Human health and safety,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,"Safety: Risk management performance of project (short term) in terms of duration of remediation works, including: Site workers, site neighbours and the public; Remediation works and ancillary operations (incl. process emissions such as bioaerosols, allergens, PMx0, impacts from operating machinery/traffic movements, excavations, etc.)
",Human health and safety,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,Social justice and equality: How is social justice and/or equality addressed? What is the duration of remedial works and are there issues of intergenerational equity? Are the impacts/benefits of works unreasonably disproportionate to particular groups? Is spirit of ‘polluter pays principle’ upheld with regard to distribution of impacts/benefits?,Ethics and Equality,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
150,Ethics in business management: Are the businesses involved operating ethically (e.g. transparency in procurement processes),Ethics and Equality,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,"Ethics of the selected treatment approach: Does the treatment approach raise any ethical concerns for stakeholders (e.g. use of genetically modified organisms, illegal labor, bribery or corruption issues)?",Ethics and Equality,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,"Impacts/benefits to local areas: Effects from dust, light, noise, odor and vibrations during works and associated with traffic, including both working-day and night-time/weekend operations",Neighborhood and Locality,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
153,Changes in the use of the site: Wider effects of changes in site usage by local communities (e.g. reduction in antisocial activities on a derelict site),Neighborhood and Locality,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
154,"Changes in the built environment: Changes in the built environment, architectural conservation, conservation of archaeological resources",Neighborhood and Locality,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
155,"Functioning of the community: Changes in the way the community functions and the services they can access (all sectors;– commercial, residential, educational, leisure, amenity); Effect of the project on local culture and vitality",Communities & Community Involvement,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,Communication: Quality of communication plan,Communities & Community Involvement,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
157,"Participation: Inclusivity and engagement in decision making process; Transparency & involvement of community, directly or through representative bodies",Communities & Community Involvement,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
158,Local policy: Compliance with local policies/spatial planning objectives,Communities & Community Involvement,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,"Robustness: Robustness of sustainability appraisal for each option considered; Degree to which robust site-specific risk-based remedial criteria are established
",Uncertainty & Evidence,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,"Quality management: Quality of investigations, assessments (incl. sustainability) and plans, and their ability to cope with variation; Accuracy of record taking and storage; Requirements for validation/verification",Uncertainty & Evidence,Cappuyns 2016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
161,determined when assessing the results of the systematic review,quality of the evidence,Carande-Kulis 2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,examining the health outcomes and legal and ethical considerations,benefits vs. harms,Carande-Kulis 2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0
163,-,values and preferences of the target audience,Carande-Kulis 2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164,cost implications including feasibility and infrastructure requirements as well as cost-effectiveness analysis,resources,Carande-Kulis 2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
165,Selection of a point of departure,Risk science decisions,Deveau 2015,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
166,Application of uncertainty factors,Risk science decisions,Deveau 2015,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,Integration of weight of evidence,Risk science decisions,Deveau 2015,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
168,Risk acceptance,Risk policy decisions,Deveau 2015,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
169,Feasibility (economic and technical),Risk policy decisions,Deveau 2015,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
170,Human health hazards,Physiochemical properties,Dorman 2014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,Comparative exposure assessment,Physiochemical properties,Dorman 2014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
172,Ecotoxicity,Physiochemical properties,Dorman 2014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
173,"Evaluation of broader environmental impacts (e.g., energy, resources)",Life cycle thinking,Dorman 2014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
174,Evaluation of social impacts,Life cycle thinking,Dorman 2014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
175,Performance assessment,Life cycle thinking,Dorman 2014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
176,Economic assessment,Life cycle thinking,Dorman 2014,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
177,What are the most important health and safety issues to address?,Burden,Felknor 2019,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
178,What work needs to be done by NIOSH at this point in time?,Need,Felknor 2019,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
179,What activities are most likely to result in reduction of burden?,Impact,Felknor 2019,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
180,"Technology: Percentage of local materials and resources used in water technology, Size of the project (i.e. land occupied, energy consumed)",Technical,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
181,"Management: Local capacity for management, operation and maintenance",Technical,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,"Local participation and access: Percentage of local population involved, Percentage of potential beneficiaries",Social ,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
183,"Local culture: Respect for local culture, appropriateness of the project to the local cultural of men and woman",Social ,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
184,"Equality and migration: Possibility of avoiding conflict among different groups in the community (i.e. between men and woman), Percentage of people who can potentially migrate",Social ,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
185,Health: Reduction of children mortality due to diarrhoeal disease,Social ,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,"Public awareness and standard of living: Percentage of people trained in water, sanitation and hygiene issues, ",Social ,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187,Public awareness and standard of living: Rate of increase in beneficiaries’ income in comparison with the minimum wage,Social ,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
188,"Cost: Low cost availability and access, ability to pay",Economic,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
189,Income and employment: Possibility of creating a difference in income that can produce social conflicts,Economic,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
190,Income and employment: Number of locals employed,Economic,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
191,"Impact: Greenhouses gases and other emissions (particulate matter, sulphur oxides)",Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,Impact: Quantity of contaminated water generated and related contamination (i.e. E. coli and total suspended solids),Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,Impact: Quantity of solid waste generated,Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
194,Impact: Average number of decibels generated,Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
195,Impact: Changes in landscape due to human exploitation,Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
196,Natural resources: Non-renewable energy consumption,Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
197,Natural resources: Water consumption,Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
198,Natural resources: Raw material consumption,Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
199,Natural resources: Amount of land used (ha),Environmental,Garfi 2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
200,"Technology: Percentage of local materials and resources used in water technology, Size of the project (i.e. land occupied, energy consumed)",Technical,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
201,"Management: Local capacity for management, operation and maintenance",Technical,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,"Local participation and access: Percentage of local population involved, Percentage of potential beneficiaries",Social ,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
203,"Local culture: Respect for local culture, appropriateness of the project to the local cultural of men and woman",Social ,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
204,"Equality and migration: Possibility of avoiding conflict among different groups in the community (i.e. between men and woman), Percentage of people who can potentially migrate",Social ,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
205,Health: Reduction of children mortality due to diarrhoeal disease,Social ,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
206,"Public awareness and standard of living: Percentage of people trained in water, sanitation and hygiene issues, ",Social ,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207,Public awareness and standard of living: Rate of increase in beneficiaries’ income in comparison with the minimum wage,Social ,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
208,"Cost: Low cost availability and access, ability to pay",Economic,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
209,Income and employment: Possibility of creating a difference in income that can produce social conflicts,Economic,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
210,Income and employment: Number of locals employed,Economic,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
211,"Impact: Greenhouses gases and other emissions (particulate matter, sulphur oxides)",Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
212,Impact: Quantity of contaminated water generated and related contamination (i.e. E. coli and total suspended solids),Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
213,Impact: Quantity of solid waste generated,Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
214,Impact: Average number of decibels generated,Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
215,Impact: Changes in landscape due to human exploitation,Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
216,Natural resources: Non-renewable energy consumption,Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
217,Natural resources: Water consumption,Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
218,Natural resources: Raw material consumption,Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
219,Natural resources: Amount of land used (ha),Environmental,Garfi 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
220,Is the disease/condition severe?,Burden of disease,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
221,Is the disease/condition frequent?,Burden of disease,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
222,Is the vaccination a priority?,Burden of disease,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
223,Are the desirable anticipated effects large?,Vaccine characteristics and impact of immunisation programme,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
224,Are the undesirable anticipated effects small?,Vaccine characteristics and impact of immunisation programme,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
225,What is the net benefit of the vaccination?,Vaccine characteristics and impact of immunisation programme,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,"What is the overall certainty of this evidence (e.g., how confident we are about the net benefit of the vaccination)?",Vaccine characteristics and impact of immunisation programme,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
227,How certain is the relative importance of the desirable and undesirable outcomes?,Values and preferences,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
228,Would patients/caregivers feel that the benefits outweigh the harms and burden?,Values and preferences,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
229,What is the appreciation and value of the vaccination in the population?,Values and preferences,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
230,Is the incremental cost small relative to the net benefits?,Resource use,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
231,Is the total cost (impact on budget) small? / What are the costs of the vaccination and are they limited compared to the benefits?,Resource use,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
232,What would be the impact on health inequities?,Equity,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
233,Would some part of the population taking advantage from the vaccination compared to other groups?,Equity,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
234,Is the option feasible to adoption in the actual setting?,Feasibility,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
235,Which vaccination barriers or facilitators act at the system level?,Feasibility,González-Lorenzo 2015,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,"Investments in capital, resources and technology that are required to establish measures",Cost of implementation,He 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
237,Level of attainment in emissions control after the execution of the measures,Effectiveness,He 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
238,Time span for the alternative policies and measures to reach their full effectiveness,Effect time,He 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
239,Willingness of the public and the government to accept the selected policies and measures,Political or public acceptability,He 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,Ease of administering the change,Administer-ability,He 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
241,Intensity of alterations to the community during the implementation of the measures,Degree of deviations from the existing system,He 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
